country,year,parent_company,empty,hdpe,ldpe,o,pet,pp,ps,pvc,grand_total,num_events,volunteers,iso_code
Nigeria,2020,HBD Table Water,0.0,0.0,448.0,0.0,0.0,0.0,0.0,0.0,448.0,18,2099.0,NGA
Nigeria,2020,Health Plus,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Henaco Beverages,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Henaco Beverages Nig. Ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,High Class Food Ltd,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,18,2099.0,NGA
Nigeria,2020,High Class Food Nig. Ltd,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,18,2099.0,NGA
Nigeria,2020,Hiyrit Venture Nig Ltd,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,18,2099.0,NGA
Nigeria,2020,Hollandia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Holy Family Industrial Nig. Ltd,0.0,0.0,369.0,0.0,3.0,0.0,0.0,0.0,372.0,18,2099.0,NGA
Nigeria,2020,Holy Family Sister's of the Needy,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,18,2099.0,NGA
Nigeria,2020,Home Care,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,18,2099.0,NGA
Nigeria,2020,Hospter Chichco Enterprises,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,IG Chemical & Allied,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,10.0,18,2099.0,NGA
Nigeria,2020,IKEGOD Food Industries PLC,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,18,2099.0,NGA
Nigeria,2020,Indofood,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,78.0,18,2099.0,NGA
Nigeria,2020,Intercontinental Distillers Limited,0.0,67.0,142.0,23.0,3.0,0.0,0.0,0.0,235.0,18,2099.0,NGA
Nigeria,2020,International Distillers Nigeria Limited (IDNL) ,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Iyke Cord Nig. Ltd,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,18,2099.0,NGA
Nigeria,2020,Jacobs Wines,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Jiand Su Meizizi Food Co,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,18,2099.0,NGA
Nigeria,2020,Jogoz Ind.,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,18,2099.0,NGA
Nigeria,2020,Jogoz Ind. Ltd,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,18,2099.0,NGA
Nigeria,2020,Johnson And Johnson,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Johnsons,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Jonathan Ohagwa Nig Ltd,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Juenl Nig. Ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Junac and Company,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Kalix Scrisntific Nigeria,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,139.0,18,2099.0,NGA
Nigeria,2020,Kasapreko,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Kasaprenko Company Ltd,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,18,2099.0,NGA
Nigeria,2020,Kash water and Beverages,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,18,2099.0,NGA
Nigeria,2020,Kates Associated Industries Ltd,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Keurig Dr. Pepper,0.0,135.0,0.0,0.0,678.0,166.0,0.0,0.0,979.0,18,2099.0,NGA
Nigeria,2020,KP Beverages,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,Kristine Haters,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
Nigeria,2020,La Casera Company,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,9.0,18,2099.0,NGA
Nigeria,2020,La Casera Company ,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,18,2099.0,NGA
Nigeria,2020,Lacasera,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,18,2099.0,NGA
Nigeria,2020,Lasco Investment,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,18,2099.0,NGA
